순번,회사명,생산품,업종명,대표주소,전화번호,팩스번호,데이터기준일자,실측점검,품질점검
149,(주)누리토이즈,인형 및 장난감,인형 및 장난감 제조업,인천광역시 서구 염곡로15번길 35 (가좌동),325797747,325738073,2021-06-30,,
150,(주)누보갤러리,"APT 가구(신발장, 주방씽크대 외)",기타 목재가구 제조업 외 1 종,인천광역시 서구 이든로 36 (오류동) 외 1필지,032-569-1401,032-569-1405,2021-06-30,,
151,(주)누보켐 검단,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담로 142 (오류동),032-517-0080,032-517-0083,2021-06-30,,
152,(주)누보켐 인천,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담4로 28 (오류동),032-517-5500,032-517-5511,2021-06-30,,
153,(주)눈부시게,LED경관조명 및 옥외조명,일반용 전기 조명장치 제조업 외 1 종,인천광역시 서구 건지로 98-106 (가좌동) 2층,032-1588-2721,032-583-3736,2021-06-30,,
154,(주)뉴로시스,PCB Controller,그 외 기타 전자부품 제조업,인천광역시 서구 가재울로 119 (가좌동),032-578-7001,032-578-7008,2021-06-30,,
155,(주)뉴바이오산업,탈취제,생물학적 제제 제조업 외 2 종,인천광역시 서구 백석동 218-8번지 외 3필지 외 3필지,032-429-5061,032-429-5062,2021-06-30,,
156,(주)뉴비앤엠,인쇄회로기판,경성 인쇄회로기판 제조업 외 1 종,인천광역시 서구 검단천로356번길 23 (오류동),,,2021-06-30,,
157,(주)뉴월드통상,육류가공품,육류 기타 가공 및 저장처리업 (가금류 제외),인천광역시 서구 소담2로 40 (금곡동) 5가구 8획지,031-921-3393,031-901-3850,2021-06-30,,
158,(주)뉴테크,자동제어장치,배전반 및 전기 자동제어반 제조업 외 1 종,인천광역시 서구 열우물로 231 (가좌동),032-577-4410,032-577-4409,2021-06-30,,
159,(주)뉴프린텍,인쇄회로기판,인쇄회로기판용 적층판 제조업,인천광역시 서구 검단천로356번길 23 (오류동),031-493-0080,031-493-0076,2021-06-30,,
160,(주)다고,"철물, 철재가구",일반철물 제조업,"인천광역시 서구 장고개로118번길 23 (가좌동, 다고(주))",032-578-4705,032-578-4707,2021-06-30,,
161,(주)다래테크,"saw shank, 가공품",톱 및 호환성 공구 제조업 외 1 종,인천광역시 서구 북항로245번길 13-11 (원창동),032-581-0215,032-581-0106,2021-06-30,,
162,(주)다비드화장품,화장품,화장품 제조업,인천광역시 서구 도담8로 14 (오류동),032-679-0091,032-679-0093,2021-06-30,,
163,(주)다빈,인쇄회로판(PCB),경성 인쇄회로기판 제조업,"인천광역시 서구 거북로 17, 나 616호 (석남동) 외 1필지",032-575-1152,032-575-1154,2021-06-30,,
164,(주)다산정보통신,유무선 통신기기,기타 무선 통신장비 제조업,"인천광역시 서구 백범로604번길 17 (가좌동, 가동)",032-818-6851,032-818-0224,2021-06-30,,
165,(주)다연정공,"탭,밸브및유사장치","탭, 밸브 및 유사장치 제조업 외 2 종",인천광역시 서구 백범로810번길 26-4 (가좌동),032-581-7053,032-581-4054,2021-06-30,,
166,(주)다연정공,유압부품,"탭, 밸브 및 유사장치 제조업 외 1 종",인천광역시 서구 보도진로41번길 9 (가좌동),032-581-7053,032-581-7054,2021-06-30,,
167,(주)다온벤카코리아,"차량용 코팅제,광택제,세정제","치약, 비누 및 기타 세제 제조업 외 1 종",인천광역시 서구 백범로810번길 26-13 (가좌동),032-868-4249,032-201-4881,2021-06-30,,
168,(주)다온시스템,LED조명기구용 컨버터,기타 전기 변환장치 제조업,"인천광역시 서구 원적로7번길 23, 3층 (가좌동)",032-715-5410,070-7500-5571,2021-06-30,,
169,(주)다온전자,핸드폰카메라 부품,그 외 기타 전자부품 제조업,"인천광역시 서구 가재울로32번길 36, 2층 (가좌동)",032-584-0603,032-584-0604,2021-06-30,,
170,(주)다온티앤티,"이동업무차,캠핑카",차체 및 특장차 제조업,인천광역시 서구 북항로177번길 116 (원창동) 외 1필지,032-562-6394,032-562-6369,2021-06-30,,
171,(주)다올에프앤씨,공장임대,비주거용 건물 임대업,"인천광역시 서구 보듬로 158, 2층 검단지식산업센터 블루텍 235호 (오류동)",,,2021-06-30,,
172,(주)다운,"사료자동급여기 외, 실물모형제조",농업 및 임업용 기계 제조업 외 1 종,인천광역시 서구 보도진로42번길 22 (가좌동),032-873-1787,032-873-1739,2021-06-30,,
173,(주)다원패키지,종이상자,골판지 상자 및 가공제품 제조업,인천광역시 서구 건지로97번길 33-27 (석남동),070-4192-0733,032-575-0713,2021-06-30,,
174,(주)다이스콤,LED집어등,일반용 전기 조명장치 제조업,"인천광역시 서구 보듬로 158, 5층 검단지식산업센터 블루텍 527호 (오류동)",032-564-6600,032-564-8256,2021-06-30,,
175,(주)다인누리,종이컵,식품 위생용 종이 상자 및 용기 제조업,인천광역시 서구 북항로 76-45 (원창동),032-571-1728,032-571-1740,2021-06-30,,
176,(주)다인스,욕실장,플라스틱 필름 제조업 외 1 종,인천광역시 서구 대곡로89번안길 24-10 (대곡동),032-561-4211,032-561-0844,2021-06-30,,
177,(주)다정하이테크,방부목재 등,"목재 보존, 방부처리, 도장 및 유사 처리업 외 6 종",인천광역시 서구 북항로363번길 14-11 (원창동),032-577-4970,032-572-4972,2021-06-30,,
178,(주)다함,마스크,기타 직물제품 제조업,인천광역시 서구 건지로 88 (가좌동) 2층,032-572-1592,032-573-1592,2021-06-30,,
179,(주)닥터손,통증완화용 패치,완제 의약품 제조업,인천광역시 서구 보듬로 158 (오류동) 블루텍 1동 2층 216호,,032-220-6364,2021-06-30,,
180,(주)단바이오,마스크,기타 직물제품 제조업,"인천광역시 서구 건지로109번길 13-1, 1층 (석남동)",032-571-9670,032-571-9671,2021-06-30,,
181,(주)단해,중앙집중여과설비 및 차량후방카메라,전기경보 및 신호장치 제조업,인천광역시 서구 갑문2로 43 (오류동),032-455-5581,032-455-5578,2021-06-30,,
182,(주)대건건축가구,사무용 목재가구,기타 목재가구 제조업,"인천광역시 서구 가좌로 33, 1층 (가좌동)",032-203-4207,032-524-4306,2021-06-30,,
183,(주)대건전기제어,전기자동제어반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 건지로284번길 113, 107호 (가좌동)",032-575-8804,032-575-8830,2021-06-30,,
184,(주)대경축산,닭고기가공,가금류 가공 및 저장 처리업,인천광역시 서구 백범로604번길 67 (가좌동),032-584-3777,032-584-7419,2021-06-30,,
185,(주)대광엔텍,철구조물 부품,육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 건지로250번길 75-1 (가좌동, 진성기계)",032-772-8990,032-772-8991,2021-06-30,,
186,(주)대기정공,스티로폴성형기부품,기타 가공 공작기계 제조업,인천광역시 서구 원전로38번길 5 (경서동),032-565-9719,032-564-7593,2021-06-30,,
187,(주)대기정밀,임대업,비주거용 건물 임대업,"인천광역시 서구 가재울로32번길 28 (가좌동, (주)대기정밀)",032-578-4551,032-582-1400,2021-06-30,,
188,(주)대농엔지니어링 ,산업기계,컨베이어장치 제조업 외 2 종,인천광역시 서구 보듬2로 11 (오류동),02-859-8511,02-859-8515,2021-06-30,,
189,(주)대덕목재,데크목.금속울타리,일반 제재업 외 2 종,인천광역시 서구 원석로196번길 16 (원창동),032-579-4604,032-574-0647,2021-06-30,,
190,(주)대덕케미칼,전자부품표면처리,도금업,인천광역시 서구 백범로934번길 38-14 (가좌동),032-576-0711,032-576-0744,2021-06-30,,
191,(주)대덕코트디자인,목재 가공,표면 가공 목재 및 특정 목적용 제재목 제조업,"인천광역시 서구 가좌로 54, 6층 602 (가좌동)",032-572-2849,032-572-2850,2021-06-30,,
192,(주)대도볼트,화스너,볼트 및 너트류 제조업,인천광역시 서구 검단로102번길 2 (오류동),032-567-1750,032-567-1755,2021-06-30,,
193,(주)대동정밀,"플라스틱제품(창호부품), 프레스제품(창호시공부자재)",운송장비 조립용 플라스틱제품 제조업 외 4 종,인천광역시 서구 로봇랜드로249번길 46-51 (청라동),032-542-0295,032-542-0296,2021-06-30,,
194,(주)대동티에스 검단지점,"씽크대부품, 금속주방용기 ",수동식 식품 가공기기 및 금속 주방용기 제조업,인천광역시 서구 마중로 142 (오류동),,032-543-6735,2021-06-30,,
195,(주)대릉,금형부품,절삭가공 및 유사처리업,인천광역시 서구 호두산로94번길 1 (경서동),032-561-8861,032-565-4393,2021-06-30,,
196,(주)대림산업,에폭시,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,인천광역시 서구 도담로 138 (오류동),032-561-5502,032-569-2686,2021-06-30,,
197,(주)대명라이팅,조명기구,일반용 전기 조명장치 제조업,인천광역시 서구 건지로121번길 42 (석남동),032-578-3722,032-578-3723,2021-06-30,,
198,(주)대명목재상사,가공목재,일반 제재업 외 1 종,인천광역시 서구 원당대로 395-139 (오류동),032-568-3381,032-562-0931,2021-06-30,,
199,(주)대명스카다,컨트롤 보드,전자부품 실장기판 제조업,인천광역시 서구 가좌동 524-8번지 -동 -층 912호,02-830-3897,02-830-3898,2021-06-30,,
200,(주)대방산업,"샤프트, 산업기계부품",자동차용 금속 압형제품 제조업 외 2 종,인천광역시 서구 호두산로 131 (경서동),032-679-4631,032-684-2702,2021-06-30,,
201,(주)대산기전,유공압 자동화기계 및 유압부품,그 외 기타 특수목적용 기계 제조업 외 1 종,"인천광역시 서구 마중로 168, 검단일반산업단지 35블럭6 (오류동)",032-562-0556,032-562-0551,2021-06-30,,
202,(주)대상에스앤티,"욕실악세사리,핸드레일",금속 위생용품 제조업,인천광역시 서구 석남로 18 (석남동),032-529-9997,032-529-9913,2021-06-30,,
203,(주)대선보드,LPM가공목재,"목재 보존, 방부처리, 도장 및 유사 처리업",인천광역시 서구 북항로120번길 26 (원창동),032-563-1138,032-565-7053,2021-06-30,,
204,(주)대성디앤에프,주방가구 외 ,"목재 보존, 방부처리, 도장 및 유사 처리업 외 2 종",인천광역시 서구 도담5로 85 (오류동) 외 1필지,032-582-2100,032-831-7233,2021-06-30,,
205,(주)대성스텐,배전반 캐비닛,배전반 및 전기 자동제어반 제조업,인천광역시 서구 백범로934번길 10-6 (가좌동),032-583-3744,032-232-0843,2021-06-30,,
206,(주)대성씨푸드,"수산물,건어물",기타 수산동물 가공 및 저장 처리업,인천광역시 서구 검암로20번길 13 (검암동),032-569-5205,032-569-6030,2021-06-30,,
207,(주)대성에이치이,열교환기,"증류기, 열교환기 및 가스발생기 제조업","인천광역시 서구 건지로 187, 3동 (석남동)",032-675-5251,032-232-5257,2021-06-30,,
208,(주)대성엔지니어링,산업용 점화장치 및 산업용 화염감지 장치,기기용 자동측정 및 제어장치 제조업 외 3 종,인천광역시 서구 심곡로124번길 20 -2(심곡동) 2층,070-4202-6456,032-565-6451,2021-06-30,,
209,(주)대성철강레이져,철판 임가공,육상 금속 골조 구조재 제조업 외 1 종,인천광역시 서구 마중4로 34 (오류동),032-564-0244,032-564-0246,2021-06-30,,
210,(주)대성축산,"삼겹,목살,돈갈,전지,후지,등심,안심",육류 포장육 및 냉동육 가공업 (가금류 제외),인천광역시 서구 백범로630번길 19 (가좌동),032-578-6191,032-581-8243,2021-06-30,,
211,(주)대성코어,소방용기계기구,"탭, 밸브 및 유사장치 제조업 외 1 종",인천광역시 서구 도담3로 14 (오류동),032-563-2788,032-563-2789,2021-06-30,,
212,(주)대승기전,"수,배전반",배전반 및 전기 자동제어반 제조업,인천광역시 서구 보도진로42번길 18 (가좌동) 외 1필지,032-582-2767,032-579-7944,2021-06-30,,
213,(주)대아전기,"조명기구, LED램프",일반용 전기 조명장치 제조업 외 3 종,인천광역시 서구 염곡로134번길 11 (가좌동),032-811-9240,032-811-9962,2021-06-30,,
214,(주)대양목재,제재목,일반 제재업,"인천광역시 서구 보도진로53번길 17 (가좌동, A동)",032-572-1180,032-577-0019,2021-06-30,,
215,(주)대양목재,우드슬랩,소파 및 기타 내장가구 제조업,인천광역시 서구 건지로 45-18 (석남동),032-572-1180,070-4150-5252,2021-06-30,,
216,(주)대양전자,"해녀안전지킴이, 투승기, 전기전자제품","전기회로 개폐, 보호장치 제조업 외 2 종",인천광역시 서구 보도진로 66-5 (가좌동) 2층 일부,032-821-0277,032-821-0278,2021-06-30,,
217,(주)대영금속,알루미늄 병마개,금속 캔 및 기타 포장용기 제조업,인천광역시 서구 정서진8로 33 (오류동),032-575-6551,032-575-6607,2021-06-30,,
218,(주)대영기업,우드칩,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 건지로121번길 38 (석남동),032-574-2121,032-571-3304,2021-06-30,,
219,(주)대영기전,자동차부품,그 외 자동차용 신품 부품 제조업 외 4 종,"인천광역시 서구 원창로 81 (원창동, 공장)",032-583-0341,032-583-0343,2021-06-30,,
220,(주)대영라이팅,조명기구,일반용 전기 조명장치 제조업,인천광역시 서구 건지로121번길 42 (석남동),032-578-3722,032-578-3723,2021-06-30,,
221,(주)대우알앤디,"항온항습조, 노화 환경조서실, 대형 온습도 환경조성실, 전자기 측정 및 분석기구, 시험기 제조",공기 조화장치 제조업 외 2 종,인천광역시 서구 완정로65번안길 45 (왕길동) 1층,032-886-2748,032-568-2763,2021-06-30,,
222,(주)대운쉘테크,자동차부품외,선철주물 주조업,인천광역시 서구 보듬1로 27 (오류동),032-561-3674,032-562-2117,2021-06-30,,
223,(주)대웅월드,선풍기,기타 가정용 전기기기 제조업,인천광역시 서구 봉수대로1581번길 7-2 (금곡동),02-960-4600,031-477-2240,2021-06-30,,
224,(주)대원비앤에프,이불,침구 및 관련제품 제조업,인천광역시 서구 염곡로134번길 7 (가좌동),032-584-8565,032-584-8566,2021-06-30,,
225,(주)대원산업,미장합판,"박판, 합판 및 유사 적층판 제조업","인천광역시 서구 건지로 194, C동 (가좌동)",032-577-0886,032-577-0887,2021-06-30,,
226,(주)대원씨엠씨,"금속 문, 창, 셔터 등","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",인천광역시 서구 설원로138번길 20 (대곡동),032-679-0057,032-682-1012,2021-06-30,,
227,(주)대원엔지니어링엘리베이터,엘리베이터부품,승강기 제조업,"인천광역시 서구 봉수대로277번길 15 (석남동, 대원엔지니어링 가동)",032-577-4814,032-578-4816,2021-06-30,,
228,(주)대원테크놀로지,엘리베이터 제어반,배전반 및 전기 자동제어반 제조업,인천광역시 서구 봉수대로501번길 4 (원창동) 외 1필지,032-584-8266,032-584-8267,2021-06-30,,
229,(주)대윤산업,보행매트,특수 직물 및 기타 직물 직조업,인천광역시 서구 원석로196번길 16 (원창동),032-575-8930,,2021-06-30,,
230,(주)대윤포리머,프라스틱재생원료(P.S),혼성 및 재생 플라스틱 소재 물질 제조업,"인천광역시 서구 봉수대로1394번길 32 (왕길동, 대운프리머)",032-562-3989,032-565-3989,2021-06-30,,
231,(주)대일라바테크,"고무 O-RING, PACKING",그 외 기타 고무제품 제조업,인천광역시 서구 중봉대로376번길 18-1 (원창동),032-579-2300,032-571-8818,2021-06-30,,
